date,open,high,low,close,volume
2021-03-30,603444,351.96,354.41,346.0,345.0
2021-03-31,603444,372.19,379.0,366.0,358.6
2021-04-01,603444,373.0,376.04,374.9,365.0
2021-04-02,603444,372.65,375.58,373.0,367.03
2021-04-06,603444,370.69,373.12,372.65,363.88
2021-04-07,603444,377.0,380.0,369.22,366.0
2021-04-08,603444,382.71,384.83,375.68,373.78
2021-04-09,603444,370.3,384.88,381.04,368.61
2021-04-12,603444,372.7,377.86,369.0,366.51
2021-04-13,603444,380.54,388.7,372.69,363.01
2021-04-14,603444,377.22,384.93,380.55,375.3
2021-04-15,603444,377.49,381.61,375.93,370.51
2021-04-16,603444,375.4,386.66,375.83,375.03
2021-04-19,603444,380.79,382.0,374.35,366.0
2021-04-20,603444,387.7,393.0,380.8,378.01
2021-04-21,603444,388.55,393.53,387.7,384.0
2021-04-22,603444,399.1,401.95,385.98,384.03
2021-04-23,603444,439.01,439.01,437.69,410.0
2021-04-26,603444,447.66,455.0,445.0,435.94
2021-04-27,603444,449.05,457.55,447.21,444.44
2021-04-28,603444,453.5,454.99,448.9,446.0
2021-04-29,603444,451.36,464.64,455.0,448.51
2021-04-30,603444,458.0,462.57,454.6,451.01
2021-05-06,603444,457.42,459.88,457.5,440.0
2021-05-07,603444,436.62,454.93,452.86,432.23
2021-05-10,603444,439.0,444.61,437.0,432.08
2021-05-11,603444,437.56,442.55,438.0,432.66
2021-05-12,603444,440.95,443.88,435.02,432.39
2021-05-13,603444,442.8,448.0,442.0,436.37
2021-05-14,603444,437.32,442.81,441.75,433.72
2021-05-17,603444,452.01,453.1,439.93,437.51
2021-05-18,603444,448.85,453.8,453.7,445.0
2021-05-19,603444,454.86,459.08,448.8,446.65
2021-05-20,603444,471.19,472.6,453.56,450.11
2021-05-21,603444,450.01,474.89,468.0,448.4
2021-05-24,603444,466.46,473.0,453.16,450.0
2021-05-25,603444,477.51,479.0,470.05,466.6
2021-05-26,603444,463.99,480.0,480.0,460.01
2021-05-27,603444,465.0,471.0,465.0,461.5
2021-05-28,603444,463.71,480.0,466.99,458.0
