trade_date,ts_code,name,close,p_change,rank,market_type,amount,net_amount,sh_amount,sh_net_amount,sh_buy,sh_sell,sz_amount,sz_net_amount,sz_buy,sz_sell
20241118,02800.HK,盈富基金,19.71,0.16,3,4,,,,,,,908953155.0,882714715.0,895833935.0,13119220.0
20241118,09988.HK,阿里巴巴-W,86.3,-0.9,2,4,,,,,,,1347685165.0,411379435.0,879532300.0,468152865.0
20241118,00700.HK,腾讯控股,404.2,3.2,1,4,,,,,,,1350845460.0,442860180.0,896852820.0,453992640.0
20241118,02318.HK,中国平安,46.0,0.4,10,2,,,688284750.0,487261550.0,587773150.0,100511600.0,,,,
20241118,01918.HK,融创中国,2.69,0.09,9,2,,,866328900.0,-6052520.0,430138190.0,436190710.0,,,,
20241118,03690.HK,美团-W,169.0,-0.6,8,2,,,979767417.0,99619643.0,539693530.0,440073887.0,,,,
20241118,00981.HK,中芯国际,26.45,0.05,7,2,,,996181725.0,-99186775.0,448497475.0,547684250.0,,,,
20241118,00883.HK,中国海洋石油,17.04,0.22,6,2,,,1101082168.0,153755192.0,627418680.0,473663488.0,,,,
20241118,09988.HK,阿里巴巴-W,86.3,-0.9,5,2,,,1184344599.0,344989301.0,764666950.0,419677649.0,,,,
20241118,02828.HK,恒生中国企业,72.0,0.88,4,2,,,1212900380.0,1152988004.0,1182944192.0,29956188.0,,,,
20241118,01810.HK,小米集团-W,28.8,0.8,3,2,,,1520917460.0,-7670200.0,756623630.0,764293830.0,,,,
20241118,00700.HK,腾讯控股,404.2,3.2,2,2,,,2943493084.0,-22900724.0,1460296180.0,1483196904.0,,,,
20241118,02800.HK,盈富基金,19.71,0.16,1,2,,,3310352550.0,3305022010.0,3307687280.0,2665270.0,,,,
20241115,00762.HK,中国联通,6.71,0.22,10,4,,,,,,,488865320.0,-37365480.0,225749920.0,263115400.0
20241115,00883.HK,中国海洋石油,16.82,0.08,9,4,,,,,,,531289780.0,173074900.0,352182340.0,179107440.0
20241115,03033.HK,南方恒生科技,4.242,0.008,8,4,,,,,,,541602647.0,516348431.0,528975539.0,12627108.0
20241115,01810.HK,小米集团-W,28.0,0.15,7,4,,,,,,,659066390.0,269942870.0,464504630.0,194561760.0
20241115,03690.HK,美团-W,169.6,0.3,6,4,,,,,,,663759712.0,129292408.0,396526060.0,267233652.0
20241115,09988.HK,阿里巴巴-W,87.2,-0.75,5,4,,,,,,,700009905.0,390023175.0,545016540.0,154993365.0
20241115,00175.HK,吉利汽车,13.18,-0.72,4,4,,,,,,,754869243.0,-153367043.0,300751100.0,454118143.0
