ts_code,trade_date,suspend_timing,suspend_type
600759.SH,19990929,,S
000556.SZ,19990929,,S
000429.SZ,19990929,,S
000619.SZ,19990929,,S
000507.SZ,19990930,,S
600759.SH,19990930,,S
000607.SZ,19990930,,S
600672.SH,19990930,,S
600774.SH,19991008,,S
000537.SZ,19991008,,S
600111.SH,19991008,,S
000720.SZ,19991008,,S
600072.SH,19991008,,S
600209.SH,19991008,,S
000407.SZ,19991008,,S
600107.SH,19991008,,S
000570.SZ,19991008,,S
600759.SH,19991008,,S
000668.SZ,19991008,,S
000672.SZ,19991008,,S
600763.SH,19991011,,S
600756.SH,19991011,,S
000556.SZ,19991011,,S
000828.SZ,19991011,,S
000823.SZ,19991011,,S
600759.SH,19991011,,S
000837.SZ,19991011,,S
600612.SH,19991011,,S
000755.SZ,19991012,,S
000562.SZ,19991012,,S
000702.SZ,19991012,,S
600763.SH,19991012,,S
000758.SZ,19991012,,S
000768.SZ,19991012,,S
600759.SH,19991012,,S
600759.SH,19991013,,S
000618.SZ,19991013,,S
600759.SH,19991014,,S
600707.SH,19991014,,S
600054.SH,19991015,,S
600759.SH,19991015,,S
